,,,,,,,,,,NOMINAL,,,,REAL (dividido por el IPC),,,
Gobierno,Año,Enlace,Beneficiarios,Cuantía total,Ratio cuantía/plazas,IPC,Sueldo medio anual NOMINAL,% Salary change,% Inflation rate,Sueldo 1 año,Sueldo 2 año,Sueldo 3 año,Sueldo 1 año,Sueldo 1 año,Sueldo 2 año,Sueldo 3 año,Sueldo 4 año
,2024,,,,,"120,6",,,,,,,,,,,
PSOE + SUMAR,2023,,,,,"117,2",,,,,,,,,,,
PSOE + PODEMOS,2022,https://www.aei.gob.es/convocatorias/buscador-convocatorias/ayudas-contratos-predoctorales-formacion-doctores-2022-0,1340,"149.755.720,00 €","111.758,00 €","111,3","18.990,25 €","3,49%","5,80%","1.230,14 €","1.230,14 €","1.318,00 €","1.647,50 €","1.105,25 €","1.049,61 €","1.092,87 €",
PSOE + PODEMOS,2021,https://www.aei.gob.es/convocatorias/buscador-convocatorias/ayudas-contratos-predoctorales-formacion-doctores-2021-0,1091,"110.038.260,00 €","100.860,00 €","105,2","18.350,00 €","2,41%","0,48%","1.188,57 €","1.188,57 €","1.273,57 €","1.592,14 €","1.129,82 €","1.067,90 €","1.086,67 €","1.320,18 €"
PSOE + PODEMOS,2020,https://www.aei.gob.es/convocatorias/buscador-convocatorias/ayudas-contratos-predoctorales-formacion-doctoresas-2020,1101,"108.954.960,00 €","98.960,00 €","104,7","17.917,50 €","0,75%","1,06%","1.160,71 €","1.160,71 €","1.243,57 €","1.554,29 €","1.108,61 €","1.103,34 €","1.117,31 €","1.326,18 €"
PSOE,2019,https://www.aei.gob.es/convocatorias/buscador-convocatorias/ayudas-contratos-predoctorales-formacion-doctores-2019-0,1109,"108.959.250,00 €","98.250,00 €","103,6","17.785,00 €","8,30%","0,97%","1.270,36 €","1.270,36 €","1.270,36 €","1.270,36 €","1.226,21 €","1.213,33 €","1.207,56 €","1.141,38 €"
PP-PSOE,2018,https://www.aei.gob.es/convocatorias/buscador-convocatorias/ayudas-contratos-predoctorales-formacion-doctores-2018-0,1104,"102.396.000,00 €","92.750,00 €","102,6","16.422,00 €","0,00%","0,59%","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","1.143,27 €","1.132,24 €","1.120,34 €","1.115,02 €"
PP,2017,https://www.aei.gob.es/convocatorias/buscador-convocatorias/ayudas-contratos-predoctorales-formacion-doctores-2017-0,1082,"100.355.500,00 €","92.750,00 €",102,"16.422,00 €","0,00%","0,59%","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","1.150,00 €","1.143,27 €","1.132,24 €","1.120,34 €"
PP,2016,https://www.aei.gob.es/convocatorias/buscador-convocatorias/ayudas-contratos-predoctorales-formacion-doctores-2016,1048,"97.202.000,00 €","92.750,00 €","101,4","16.422,00 €","0,00%","3,05%","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","1.156,80 €","1.150,00 €","1.143,27 €","1.132,24 €"
PP,2015,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2015-6508,1018,"94.419.500,00 €","92.750,00 €","98,4","16.422,00 €","0,00%","-0,30%","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","1.192,07 €","1.156,80 €","1.150,00 €","1.143,27 €"
PP,2014,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2014-9185,910,"80.444.000,00 €","88.400,00 €","98,7","16.422,00 €","0,00%","-1,30%","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","1.188,45 €","1.192,07 €","1.156,80 €","1.150,00 €"
PP,2013,https://www.aei.gob.es/convocatorias/buscador-convocatorias/ayudas-contratos-predoctorales-formacion-doctores-2013,940,"86.466.000,00 €","91.985,11 €",100,"16.422,00 €","0,00%","0,00%","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","1.188,45 €","1.192,07 €","1.156,80 €"