,,,,,,,,,NOMINAL,,,,,REAL (dividido por el IPC),,,
Gobierno,Año,Enlace,Beneficiarios,Cuantía total,Ratio cuantía/plazas,Sueldo medio anual NOMINAL,% Salary change,% Inflation rate,Sueldo 1 año,Sueldo 2 año ,Sueldo 3 año,Sueldo 4 año,IPC,Sueldo 1 año,Sueldo 2 año ,Sueldo 3 año,Sueldo 4 año
PSOE + SUMAR,2024,,,,,,,,,,,,"120,6",,,,
PSOE + SUMAR,2023,,950,"120.090.262,40 €","126.410,80 €","22.585,65 €","10,44","5,30","1.359,04 €","1.698,00 €","1.698,00 €","1.698,00 €","117,2","1.159,59 €","1.407,96 €",-,-
PSOE + PODEMOS,2022,https://www.ciencia.gob.es/InfoGeneralPortal/documento/f8167ca5-5e26-4c2d-b3c8-959bbd01a260,900,"101.110.321,81 €","112.344,80 €","20.450,19 €","11,46","5,80","1.230,08 €","1.317,95 €","1.647,44 €","1.647,44 €","111,3","1.105,19 €","1.124,53 €","1.366,04 €",-
PSOE + PODEMOS,2021,,885,"84.462.251,20 €","95.437,57 €","18.347,32 €","2,42","0,48","1.188,49 €","1.188,49 €","1.273,38 €","1.591,73 €","105,2","1.129,74 €","1.067,83 €","1.086,50 €","1.319,84 €"
PSOE + PODEMOS,2020,,850,"79.329.825,20 €","93.329,21 €","17.914,16 €","0,73","1,06","1.160,43 €","1.160,43 €","1.243,32 €","1.554,15 €","104,7","1.108,34 €","1.103,07 €","1.117,09 €","1.326,07 €"
PSOE,2019,,850,"78.811.878,15 €","92.719,86 €","17.783,54 €","8,29","0,97","1.151,97 €","1.151,97 €","1.234,25 €","1.542,82 €","103,6","1.111,94 €","1.100,26 €","1.173,24 €","1.386,18 €"
PP-PSOE,2018,,850,"71.391.268,00 €","83.989,73 €","16.422,00 €","0,00","0,59","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","102,6","1.143,27 €","1.132,24 €","1.120,34 €","1.115,02 €"
PP,2017,https://www.ciencia.gob.es/InfoGeneralPortal/documento/59962a1e-8239-4311-8caf-d461b074ad0a,850,"71.391.269,00 €","83.989,73 €","16.422,00 €","0,00","0,59","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €",102,"1.150,00 €","1.143,27 €","1.132,24 €","1.120,34 €"
PP,2016,,1048,"97.202.000,00 €","92.750,00 €","16.422,00 €","0,00","3,05","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","101,4","1.156,80 €","1.150,00 €","1.143,27 €","1.132,24 €"
PP,2015,,1018,"94.419.500,00 €","92.750,00 €","16.422,00 €","0,00","-0,30","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","98,4","1.192,07 €","1.156,80 €","1.150,00 €","1.143,27 €"
PP,2014,,910,"80.444.000,00 €","88.400,00 €","16.422,00 €","0,00","-1,30","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €","98,7","1.188,45 €","1.192,07 €","1.156,80 €","1.150,00 €"
PP,2013,,940,"86.466.000,00 €","91.985,11 €","16.422,00 €","0,00","0,00","1.173,00 €","1.173,00 €","1.173,00 €","1.173,00 €",100,"1.173,00 €","1.188,45 €","1.192,07 €","1.156,80 €"