,,,,,Madrid,,,,Barcelona,,,,Valencia,,,,,,
,Moda m2,"Media m2 (76,90)",Madrid,Madrid 82 m2,m2 max FPU,m2 max PIF,Barcelona,Barcelona 82 m2,m2 max FPU,m2 max PIF,Valencia,Valencia 82 m2,m2 max FPU,m2 max PIF,,Sueldo medio FPU,30% alquiler x mes - FPU,Sueldo medio PIF,30% alquiler x mes- PIF
2023,,82,"16,98 €","1.392,36 €","28,5","0,0","19,25 €","1.578,50 €","25,1","0,0","12,02","985,64","40,3","0,0",,"22.585,65 €","483,98 €",,"0,00 €"
2022,,82,"15,27 €","1.252,14 €","28,7","26,6","16,43 €","1.347,26 €","26,7","24,8","9,99","819,18","43,9","40,7",,"20.450,19 €","438,22 €","18.990,25 €","406,93 €"
2021,,82,"14,39 €","1.179,98 €","27,3","27,3","14,33 €","1.175,06 €","27,4","27,4","8,84","724,88","44,5","44,5",,"18.347,32 €","393,16 €","18.350,00 €","393,21 €"
2020,Entre 76 y 90,82,"15,66 €","1.284,12 €","24,5","24,5","15,92 €","1.305,44 €","24,1","24,1","9,06","742,92","42,4","42,4",,"17.914,16 €","383,87 €","17.917,50 €","383,95 €"
2019,Entre 76 y 90,82,"15,60 €","1.279,20 €","24,4","24,4","16,20 €","1.328,40 €","23,5","23,5","8,69","712,58","43,9","43,9",,"17.783,54 €","381,08 €","17.785,00 €","381,11 €"
2018,Entre 76 y 90,82,"15,00 €","1.230,00 €","23,5","23,5","16,21 €","1.329,22 €","21,7","21,7","7,98","654,36","44,1","44,1",,"16.422,00 €","351,90 €","16.422,00 €","351,90 €"
2017,Entre 76 y 90,82,"13,78 €","1.129,96 €","25,5","25,5","16,11 €","1.321,02 €","21,8","21,8","7,03","576,46","50,1","50,1",,"16.422,00 €","351,90 €","16.422,00 €","351,90 €"
2016,Entre 76 y 90,82,"12,61 €","1.034,02 €","27,9","27,9","14,27 €","1.170,14 €","24,7","24,7","6,5",533,"54,1","54,1",,"16.422,00 €","351,90 €","16.422,00 €","351,90 €"
2015,Entre 76 y 90,82,"11,79 €","966,78 €","29,8","29,8","12,37 €","1.014,34 €","28,4","28,4","6,08","498,56","57,9","57,9",,"16.422,00 €","351,90 €","16.422,00 €","351,90 €"
2014,Entre 76 y 90,82,"11,30 €","926,60 €","31,1","31,1","11,18 €","916,76 €","31,5","31,5","5,88","482,16","59,8","59,8",,"16.422,00 €","351,90 €","16.422,00 €","351,90 €"
2013,Entre 76 y 90,82,"11,28 €","924,96 €","31,2","31,2","10,96 €","898,72 €","32,1","32,1","5,95","487,9","59,1","59,1",,"16.422,00 €","351,90 €","16.422,00 €","351,90 €"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"25,5 m2",,,,,,